-0.74,0.65,-0.17,0.04
-0.71,0.68,-0.17,0.04
0.71,-0.68,0.21,0.05
0.71,-0.66,0.23,0.08
0.61,-0.42,0.55,0.38
0.59,-0.39,0.57,0.41
0.38,-0.26,0.69,0.57
0.36,-0.24,0.69,0.58
0.35,-0.23,0.69,0.59
0.20,-0.07,0.75,0.63
0.19,-0.06,0.75,0.63
0.27,-0.14,0.74,0.60
0.31,-0.16,0.74,0.57
0.35,-0.18,0.74,0.55
0.61,-0.42,0.57,0.37
0.64,-0.45,0.52,0.34
0.74,-0.65,0.14,0.07
0.74,-0.66,0.12,0.05
-0.72,0.69,-0.00,0.06
-0.72,0.69,-0.02,0.05
-0.72,0.69,-0.04,0.04
0.66,-0.57,0.40,0.27
0.66,-0.54,0.42,0.31
0.48,-0.32,0.60,0.55
0.46,-0.31,0.62,0.56
0.43,-0.30,0.63,0.57
0.24,-0.13,0.71,0.65
0.23,-0.12,0.71,0.65
0.15,-0.06,0.68,0.71
0.16,-0.07,0.68,0.71
0.18,-0.09,0.67,0.72
0.39,-0.33,0.63,0.58
0.42,-0.36,0.62,0.56
0.45,-0.38,0.60,0.54
0.70,-0.57,0.32,0.29
0.72,-0.59,0.27,0.26
0.73,-0.68,-0.06,0.01
0.73,-0.68,-0.06,0.00
-0.73,0.68,0.06,0.00
0.70,-0.66,0.19,0.21
0.69,-0.64,0.23,0.24
0.68,-0.63,0.27,0.27
0.55,-0.48,0.49,0.47
0.54,-0.46,0.51,0.49
0.38,-0.32,0.57,0.66
0.35,-0.30,0.58,0.67
0.33,-0.28,0.58,0.69
0.16,-0.11,0.67,0.72
0.15,-0.10,0.67,0.72
0.10,-0.05,0.70,0.71
0.11,-0.05,0.69,0.71
0.11,-0.07,0.69,0.71
0.31,-0.16,0.73,0.59
0.30,-0.20,0.79,0.49
0.29,-0.13,0.92,0.23
0.28,-0.14,0.93,0.21
0.24,-0.14,0.96,0.04
0.24,-0.15,0.96,0.04
0.23,-0.15,0.96,0.03
-0.21,0.16,-0.97,0.02
-0.20,0.16,-0.97,0.02
-0.18,0.17,-0.97,0.07
-0.17,0.17,-0.97,0.07
-0.16,0.18,-0.97,0.09
